[2020-08-05 15:50:52:1310][main] INFO  - Starting DemoApplication on luxurysooNB with PID 33808 (C:\git\DSAT_USERSYNC\bin\main started by luxurysoo in C:\git\DSAT_USERSYNC)
[2020-08-05 15:50:52:1326][main] INFO  - No active profile set, falling back to default profiles: default
[2020-08-05 15:50:54:3584][main] INFO  - Started DemoApplication in 2.881 seconds (JVM running for 7.609)
[2020-08-05 15:50:54:3585][main] INFO  - sync 시작 
[2020-08-05 15:51:17:26027][main] INFO  - tmp_daishin의 데이터로 그룹정보 조회 (view table)
[2020-08-05 15:51:17:26041][main] INFO  - ir_user_group 삭제 
[2020-08-05 15:51:17:26270][main] INFO  - ir_user_group 입력  
[2020-08-05 15:51:17:26288][main] INFO  - ir_user 정보 입력 
[2020-08-05 15:51:17:26290][main] INFO  - user 정보 입력  
[2020-08-05 15:51:18:26799][main] INFO  - 폰정보 업데이트  
[2020-08-05 15:51:18:26799][main] INFO  - sync 종료 
[2020-08-05 15:51:31:1046][main] INFO  - Starting DemoApplication on luxurysooNB with PID 61072 (C:\git\DSAT_USERSYNC\bin\main started by luxurysoo in C:\git\DSAT_USERSYNC)
[2020-08-05 15:51:31:1056][main] INFO  - No active profile set, falling back to default profiles: default
[2020-08-05 15:51:33:2941][main] INFO  - Started DemoApplication in 2.461 seconds (JVM running for 6.379)
[2020-08-05 15:51:33:2943][main] INFO  - sync 시작 
[2020-08-05 15:51:34:3207][main] INFO  - tmp_daishin 테이블 삭제 
[2020-08-05 15:51:34:3555][main] INFO  - oracle 에서 정보 가져오기 
[2020-08-05 15:51:34:3618][main] INFO  - tmp_daishin 테이블에 데이터 입력 (postgres) 
[2020-08-05 15:51:34:3635][main] INFO  - tmp_daishin의 데이터로 그룹정보 조회 (view table)
[2020-08-05 15:51:34:3647][main] INFO  - ir_user_group 삭제 
[2020-08-05 15:51:34:3900][main] INFO  - ir_user_group 입력  
[2020-08-05 15:51:34:3915][main] INFO  - ir_user 정보 입력 
[2020-08-05 15:51:34:3915][main] INFO  - user 정보 입력  
[2020-08-05 15:51:35:4423][main] INFO  - 폰정보 업데이트  
[2020-08-05 15:51:35:4424][main] INFO  - sync 종료 
[2020-08-05 15:53:20:887][main] INFO  - Starting DemoApplication on luxurysooNB with PID 11840 (C:\git\DSAT_USERSYNC\bin\main started by luxurysoo in C:\git\DSAT_USERSYNC)
[2020-08-05 15:53:20:893][main] INFO  - No active profile set, falling back to default profiles: default
[2020-08-05 15:53:22:3118][main] INFO  - Started DemoApplication in 2.646 seconds (JVM running for 6.177)
[2020-08-05 15:53:22:3120][main] INFO  - sync 시작 
[2020-08-05 15:53:22:3449][main] INFO  - tmp_daishin 테이블 삭제 
[2020-08-05 15:53:23:3884][main] INFO  - oracle 에서 정보 가져오기 
[2020-08-05 15:53:23:3952][main] INFO  - tmp_daishin 테이블에 데이터 입력 (postgres) 
[2020-08-05 15:53:23:3969][main] INFO  - tmp_daishin의 데이터로 그룹정보 조회 (view table)
[2020-08-05 15:53:23:3981][main] INFO  - ir_user_group 삭제 
[2020-08-05 15:53:23:4250][main] INFO  - ir_user_group 입력  
[2020-08-05 15:53:23:4268][main] INFO  - ir_user 정보 입력 
[2020-08-05 15:53:23:4268][main] INFO  - user 정보 입력  
[2020-08-05 15:53:24:4886][main] INFO  - 폰정보 업데이트  
[2020-08-05 15:53:24:4887][main] INFO  - sync 종료 
